image_links,prices,reviews,titles,votes
"https://images-na.ssl-images-amazon.com/images/I/51CgKGfMelL._AC_UL200_SR200,200_.jpg",49.99,41086,"Fire TV Stick 4K with Alexa Voice Remote, streaming media player",4.5
"https://images-na.ssl-images-amazon.com/images/I/51ZdmnHKukL._AC_UL200_SR200,200_.jpg",39.99,33577,"Fire TV Stick with Alexa Voice Remote, streaming media player",4.5
"https://images-na.ssl-images-amazon.com/images/I/6182S7MYC2L._AC_UL200_SR200,200_.jpg",49.99,59000,Echo Dot (3rd Gen) - Smart speaker with Alexa - Charcoal,4.6
"https://images-na.ssl-images-amazon.com/images/I/51aZrvx0IFL._AC_UL200_SR200,200_.jpg",4.99,,2-Year Accident Protection for Echo Auto,
"https://images-na.ssl-images-amazon.com/images/I/51lS5gvNgyL._AC_UL200_SR200,200_.jpg",14.99,4102,Amazon Ethernet Adapter for Amazon Fire TV Devices,4.1
"https://images-na.ssl-images-amazon.com/images/I/5142eHLL%2BlL._AC_UL200_SR200,200_.jpg",89.99,5420,Introducing Echo Show 5 – Compact smart display with Alexa - Charcoal,4.4
"https://images-na.ssl-images-amazon.com/images/I/51D1asikWnL._AC_UL200_SR200,200_.jpg",99.99,36947,"Ring Video Doorbell with HD Video, Motion Activated Alerts, Easy Installation - Satin Nickel",4.0
"https://images-na.ssl-images-amazon.com/images/I/41uF7hO8FtL._AC_UL200_SR200,200_.jpg",24.99,13471,"Amazon Smart Plug, works with Alexa",4.5
"https://images-na.ssl-images-amazon.com/images/I/71hP6o06gdL._AC_UL200_SR200,200_.jpg",29.00,1364,Ring Rechargeable Battery Pack,4.6
"https://images-na.ssl-images-amazon.com/images/I/51hM-iD-CpL._AC_UL200_SR200,200_.jpg",49.99,4832,"All-New Fire 7 Tablet (7"" display, 16 GB) - Black",4.2
"https://images-na.ssl-images-amazon.com/images/I/61cSwIDSVbL._AC_UL200_SR200,200_.jpg",49.99,59000,Echo Dot (3rd Gen) - Smart speaker with Alexa - Sandstone,4.6
"https://images-na.ssl-images-amazon.com/images/I/6182S7MYC2L._AC_UL200_SR200,200_.jpg",29.99,535,Certified Refurbished Echo Dot (3rd Gen) - Voice control your smart home with Alexa - Charcoal,4.5
"https://images-na.ssl-images-amazon.com/images/I/61fTH8Uil9L._AC_UL200_SR200,200_.jpg",149.99,41895,"Fire HD 10 Tablet with Alexa Hands-Free, 10.1"" 1080p Full HD Display, 32 GB, Black",4.1
"https://images-na.ssl-images-amazon.com/images/I/61eAq6gg-XL._AC_UL200_SR200,200_.jpg",129.99,11445,Kindle Paperwhite – Now Waterproof with 2x the Storage – Includes Special Offers,4.3
"https://images-na.ssl-images-amazon.com/images/I/51SgcH5ly%2BL._AC_UL200_SR200,200_.jpg",29.99,1554,Alexa Voice Remote with power and volume controls – requires compatible Fire TV device,4.3
"https://images-na.ssl-images-amazon.com/images/I/51CgKGfMelL._AC_UL200_SR200,200_.jpg",44.99,838,"Certified Refurbished Fire TV Stick 4K with Alexa Voice Remote, streaming media player",4.4
"https://images-na.ssl-images-amazon.com/images/I/51PhMgKm-eL._AC_UL200_SR200,200_.jpg",89.99,5420,Introducing Echo Show 5 – Compact smart display with Alexa - Sandstone,4.4
"https://images-na.ssl-images-amazon.com/images/I/71TzCLRzYAL._AC_UL200_SR200,200_.jpg",199.00,9909,"Ring Video Doorbell 2 with HD Video, Motion Activated Alerts, Easy Installation",4.2
"https://images-na.ssl-images-amazon.com/images/I/61KIcV26CdL._AC_UL200_SR200,200_.jpg",49.99,59000,Echo Dot (3rd Gen) - Smart speaker with Alexa - Heather Gray,4.6
"https://images-na.ssl-images-amazon.com/images/I/61ikAJnULvL._AC_UL200_SR200,200_.jpg",17.04,136750,Echo Dot (2nd Generation) - Smart speaker with Alexa - Black,4.3
"https://images-na.ssl-images-amazon.com/images/I/61SJLQB134L._AC_UL200_SR200,200_.jpg",79.99,18703,"Fire HD 8 Tablet (8"" HD Display, 16 GB) - Black",4.1
"https://images-na.ssl-images-amazon.com/images/I/51dgQ0F4dnL._AC_UL200_SR200,200_.jpg",99.99,36947,"Ring Video Doorbell with HD Video, Motion Activated Alerts, Easy Installation - Venetian Bronze",4.0
"https://images-na.ssl-images-amazon.com/images/I/51ZdmnHKukL._AC_UL200_SR200,200_.jpg",34.99,823,"Certified Refurbished Fire TV Stick with Alexa Voice Remote, streaming media player",4.3
"https://images-na.ssl-images-amazon.com/images/I/618muNEzgbL._AC_UL200_SR200,200_.jpg",27.99,1041,Alexa Voice Remote for Amazon Fire TV and Fire TV Stick (1st Gen),3.8
"https://images-na.ssl-images-amazon.com/images/I/51GJ2v38SNL._AC_UL200_SR200,200_.jpg",49.99,4832,"All-New Fire 7 Tablet (7"" display, 16 GB) - Twilight Blue",4.2
"https://images-na.ssl-images-amazon.com/images/I/61%2Bd846DKeL._AC_UL200_SR200,200_.jpg",20.99,11759,"""Made for Amazon"" SanDisk 128 GB micro SD Memory Card for Fire Tablets and Fire TV",4.4
"https://images-na.ssl-images-amazon.com/images/I/716cDWO30ZL._AC_UL200_SR200,200_.jpg",49.99,2520,"Ring Chime Pro, Indoor Chime and Wi-Fi Extender ONLY for Ring Network Devices",3.8
"https://images-na.ssl-images-amazon.com/images/I/61Ww4abGclL._AC_UL200_SR200,200_.jpg",89.99,2212,All-new Kindle - Now with a Built-in Front Light - Black - Includes Special Offers,4.3
"https://images-na.ssl-images-amazon.com/images/I/516M3mh53HL._AC_UL200_SR200,200_.jpg",39.99,33577,Fire TV Stick with Alexa Voice Remote plus 2 months of HBO (with automatic renewal),4.5
"https://images-na.ssl-images-amazon.com/images/I/51ngf55JmfL._AC_UL200_SR200,200_.jpg",59.99,1892,"AmazonBasics Microwave, Small, 0.7 Cu. Ft, 700W, Works with Alexa",4.0
"https://images-na.ssl-images-amazon.com/images/I/61DPuDA7ISL._AC_UL200_SR200,200_.jpg",99.99,1342,"All-New Fire 7 Kids Edition Tablet, 7"" Display, 16 GB, Blue Kid-Proof Case",4.4
"https://images-na.ssl-images-amazon.com/images/I/915CT%2BFwbhL._AC_UL200_SR200,200_.jpg",19.99,1513,Amazon 5W USB Official OEM Charger and Power Adapter for Fire Tablets and Kindle eReaders - Black,4.4
"https://images-na.ssl-images-amazon.com/images/I/513IKve0ANL._AC_UL200_SR200,200_.jpg",179.99,3043,"All-new Blink XT2 Outdoor/Indoor Smart Security Camera with cloud storage included, 2-way audio, 2-year battery life – 2 camera kit",3.6
"https://images-na.ssl-images-amazon.com/images/I/51q8%2BP87JLL._AC_UL200_SR200,200_.jpg",49.99,4832,"All-New Fire 7 Tablet (7"" display, 16 GB) - Plum",4.2
"https://images-na.ssl-images-amazon.com/images/I/61cSwIDSVbL._AC_UL200_SR200,200_.jpg",29.99,535,Certified Refurbished Echo Dot (3rd Gen) - Voice control your smart home with Alexa - Sandstone,4.5
"https://images-na.ssl-images-amazon.com/images/I/419f%2BTN01dL._AC_UL200_SR200,200_.jpg",89.99,3043,"All-new Blink XT2 Outdoor/Indoor Smart Security Camera with cloud storage included, 2-way audio, 2-year battery life – Add-on camera for existing Blink customers",3.6
"https://images-na.ssl-images-amazon.com/images/I/61kWsue8e8L._AC_UL200_SR200,200_.jpg",7.99,11759,"""Made for Amazon"" SanDisk 32 GB micro SD Memory Card for Fire Tablets and Fire TV",4.4
"https://images-na.ssl-images-amazon.com/images/I/51PVbyGOQ2L._AC_UL200_SR200,200_.jpg",49.99,4832,"All-New Fire 7 Tablet (7"" display, 16 GB) - Sage",4.2
"https://images-na.ssl-images-amazon.com/images/I/712UDuT1yRL._AC_UL200_SR200,200_.jpg",249.00,16654,"Ring Video Doorbell Pro, with HD Video, Motion Activated Alerts, Easy Installation (existing doorbell wiring required)",4.1
"https://images-na.ssl-images-amazon.com/images/I/51eGue9F1yL._AC_UL200_SR200,200_.jpg",249.99,3043,"All-new Blink XT2 Outdoor/Indoor Smart Security Camera with cloud storage included, 2-way audio, 2-year battery life – 3 camera kit",3.6
"https://images-na.ssl-images-amazon.com/images/I/41KxgZW5KLL._AC_UL200_SR200,200_.jpg",9.99,251,Amazon 5ft USB to Micro-USB Cable (designed for use with Fire tablets and Kindle E-readers),4.5
"https://images-na.ssl-images-amazon.com/images/I/61GcN5yX6XL._AC_UL200_SR200,200_.jpg",129.99,10627,Echo Spot - Smart Alarm Clock with Alexa - Black,4.3
"https://images-na.ssl-images-amazon.com/images/I/6137kSXiKfL._AC_UL200_SR200,200_.jpg",129.99,7662,Toshiba 32LF221U19 32-inch 720p HD Smart LED TV - Fire TV Edition,4.2
"https://images-na.ssl-images-amazon.com/images/I/71vhCaHhHTL._AC_UL200_SR200,200_.jpg",42.26,49812,Echo (2nd Generation) - Smart speaker with Alexa and Dolby processing  - Charcoal Fabric,4.5
"https://images-na.ssl-images-amazon.com/images/I/61lN5mbTXYL._AC_UL200_SR200,200_.jpg",11.99,11759,"""Made for Amazon"" SanDisk 64 GB micro SD Memory Card for Fire Tablets and Fire TV",4.4
"https://images-na.ssl-images-amazon.com/images/I/61zsp4i71VL._AC_UL200_SR200,200_.jpg",19.99,479,Echo Show 5 Adjustable Stand - Black,4.6
"https://images-na.ssl-images-amazon.com/images/I/61O-eq1gqxL._AC_UL200_SR200,200_.jpg",129.99,11445,Kindle Paperwhite – Now Waterproof with 2x the Storage – Includes Special Offers,4.3
"https://images-na.ssl-images-amazon.com/images/I/51bLPHhVXKL._AC_UL200_SR200,200_.jpg",9.99,48,"2-Year Accident Protection Plan for Fire 7 Tablet (2019 release, delivered via e-mail)",4.7
"https://images-na.ssl-images-amazon.com/images/I/61GgfcqizQL._AC_UL200_SR200,200_.jpg",7.99,225,2-Year Accident Protection for Fire TV Stick 4K (2018 release),4.5
"https://images-na.ssl-images-amazon.com/images/I/61pmoDWVV3L._AC_UL200_SR200,200_.jpg",99.99,49812,Echo (2nd Generation) - Smart speaker with Alexa and Dolby processing  - Heather Gray Fabric,4.5
"https://images-na.ssl-images-amazon.com/images/I/51bRtmWNBbL._AC_UL200_SR200,200_.jpg",99.99,3043,"All-new Blink XT2 Outdoor/Indoor Smart Security Camera with cloud storage included, 2-way audio, 2-year battery life – 1 camera kit",3.6
"https://images-na.ssl-images-amazon.com/images/I/71I6oj6ZFBL._AC_UL200_SR200,200_.jpg",149.99,4760,Echo Plus (2nd Gen) - Premium sound with built-in smart home hub - Charcoal,4.6
"https://images-na.ssl-images-amazon.com/images/I/61wUAUVhrZL._AC_UL200_SR200,200_.jpg",17.04,136750,Echo Dot (2nd Generation) - Smart speaker with Alexa - White,4.3
"https://images-na.ssl-images-amazon.com/images/I/41fziVetM7L._AC_UL200_SR200,200_.jpg",119.99,,"All-new Fire TV Cube, hands-free with Alexa and 4K Ultra HD, streaming media player",
"https://images-na.ssl-images-amazon.com/images/I/51fumkED57L._AC_UL200_SR200,200_.jpg",89.99,4728,"Amazon Cloud Cam Security Camera, Works with Alexa",4.0
"https://images-na.ssl-images-amazon.com/images/I/61f8Fvn8VLL._AC_UL200_SR200,200_.jpg",4.99,1929,"2-Year Protection Plan for Fire TV Stick with all-new Alexa Voice Remote, streaming media player (2019 release)",4.4
"https://images-na.ssl-images-amazon.com/images/I/61KIcV26CdL._AC_UL200_SR200,200_.jpg",29.99,535,Certified Refurbished Echo Dot (3rd Gen) - Voice control your smart home with Alexa - Heather Gray,4.5
"https://images-na.ssl-images-amazon.com/images/I/51KbZ6g2DML._AC_UL200_SR200,200_.jpg",379.99,3043,"All-new Blink XT2 Outdoor/Indoor Smart Security Camera with cloud storage included, 2-way audio, 2-year battery life – 5 camera kit",3.6
"https://images-na.ssl-images-amazon.com/images/I/410PZBLs%2BQL._AC_UL200_SR200,200_.jpg",34.99,2435,Echo Input – Bring Alexa to your own speaker- Black,4.1
"https://images-na.ssl-images-amazon.com/images/I/61D5GLAdyUL._AC_UL200_SR200,200_.jpg",129.99,5313,"Fire HD 8 Kids Edition Tablet, 8"" HD Display, 32 GB, Pink Kid-Proof Case",4.2
"https://images-na.ssl-images-amazon.com/images/I/61c0mDo2zNL._AC_UL200_SR200,200_.jpg",79.99,18703,"Fire HD 8 Tablet (8"" HD Display, 16 GB)  - Blue",4.1
"https://images-na.ssl-images-amazon.com/images/I/61t2lISns3L._AC_UL200_SR200,200_.jpg",229.99,5896,Echo Show (2nd Gen) – Premium sound and a vibrant 10.1” HD screen - Charcoal,4.3
"https://images-na.ssl-images-amazon.com/images/I/31X48oAo1VL._AC_UL200_SR200,200_.jpg",99.99,6340,"Fire TV Cube (1st Gen), hands-free with Alexa and 4K Ultra HD and 2nd Gen Alexa Voice Remote - Previous Generation",4.0
"https://images-na.ssl-images-amazon.com/images/I/510b5tWNP9L._AC_UL200_SR200,200_.jpg",99.99,1342,"All-New Fire 7 Kids Edition Tablet, 7"" Display, 16 GB, Pink Kid-Proof Case",4.4
"https://images-na.ssl-images-amazon.com/images/I/71cN1J7EpHL._AC_UL200_SR200,200_.jpg",29.99,939,"All-new Kindle Paperwhite Water-Safe Fabric Cover (10th Generation-2018), Charcoal Black",4.3
"https://images-na.ssl-images-amazon.com/images/I/61iDm66rHHL._AC_UL200_SR200,200_.jpg",129.99,5313,"Fire HD 8 Kids Edition Tablet, 8"" HD Display, 32 GB, Blue Kid-Proof Case",4.2
"https://images-na.ssl-images-amazon.com/images/I/61eAq6gg-XL._AC_UL200_SR200,200_.jpg",159.99,11445,Kindle Paperwhite – Now Waterproof with more than 2x the Storage – Includes Special Offers,4.3
"https://images-na.ssl-images-amazon.com/images/I/71xszCJja%2BL._AC_UL200_SR200,200_.jpg",39.99,624,Ring Alarm Contact Sensor 2-Pack,4.4
"https://images-na.ssl-images-amazon.com/images/I/81AEDTt8glL._AC_UL200_SR200,200_.jpg",99.99,49812,Echo (2nd Generation) - Smart speaker with Alexa and Dolby processing  - Sandstone Fabric,4.5
"https://images-na.ssl-images-amazon.com/images/I/61w7Ek7pg8L._AC_UL200_SR200,200_.jpg",79.99,18703,"Fire HD 8 Tablet (8"" HD Display, 16 GB) - Red",4.1
"https://images-na.ssl-images-amazon.com/images/I/81%2BL2C-Yh4L._AC_UL200_SR200,200_.jpg",12.99,1378,NuPro Clear Screen Protector for Amazon Fire HD 8 Tablet (7th and 8th Generation  - 2017 and 2018 releases) (2-Pack),4.0
"https://images-na.ssl-images-amazon.com/images/I/61eAq6gg-XL._AC_UL200_SR200,200_.jpg",149.99,11445,Kindle Paperwhite – Now Waterproof with 2x the Storage,4.3
"https://images-na.ssl-images-amazon.com/images/I/715yWNaU1UL._AC_UL200_SR200,200_.jpg",19.99,40,Blink XT2 Camera Mounts – Black – 3-Pack,4.0
"https://images-na.ssl-images-amazon.com/images/I/51YtTAuAqRL._AC_UL200_SR200,200_.jpg",199.00,1888,"Ring Spotlight Cam Battery HD Security Camera with Built Two-Way Talk and a Siren Alarm, White, Works with Alexa",4.0
"https://images-na.ssl-images-amazon.com/images/I/71wCBizPK8L._AC_UL200_SR200,200_.jpg",199.00,2563,Ring Alarm 5 Piece Kit – Home Security System with optional 24/7 Professional Monitoring – No long-term contracts – Works with Alexa,4.5
"https://images-na.ssl-images-amazon.com/images/I/61c24ioz2oL._AC_UL200_SR200,200_.jpg",19.99,222,2-Year Accident Protection for Fire HD 8 Tablet (2018 release),4.2
"https://images-na.ssl-images-amazon.com/images/I/518wKBVclJL._AC_UL200_SR200,200_.jpg",99.99,1342,"All-New Fire 7 Kids Edition Tablet, 7"" Display, 16 GB, Purple Kid-Proof Case",4.4
"https://images-na.ssl-images-amazon.com/images/I/61LjMcbTeiL._AC_UL200_SR200,200_.jpg",129.99,5313,"Fire HD 8 Kids Edition Tablet, 8"" HD Display, 32 GB, Yellow Kid-Proof Case",4.2
"https://images-na.ssl-images-amazon.com/images/I/61gi-0RQJOL._AC_UL200_SR200,200_.jpg",89.99,2212,All-new Kindle - Now with a Built-in Front Light - White - Includes Special Offers,4.3
"https://images-na.ssl-images-amazon.com/images/I/5176dPPtLeL._AC_UL200_SR200,200_.jpg",239.00,2563,"Ring Alarm 8 Piece Kit + Echo Dot (3rd Gen), Works with Alexa",4.5
"https://images-na.ssl-images-amazon.com/images/I/71TzCLRzYAL._AC_UL200_SR200,200_.jpg",119.00,189,Certified Refurbished Ring Video Doorbell 2,3.5
"https://images-na.ssl-images-amazon.com/images/I/61SJLQB134L._AC_UL200_SR200,200_.jpg",109.99,18703,"Fire HD 8 Tablet (8"" HD Display, 32 GB) - Black",4.1
"https://images-na.ssl-images-amazon.com/images/I/619hTFl4%2BIL._AC_UL200_SR200,200_.jpg",69.99,188,"All-New Echo Dot Kids Edition, an Echo designed for kids, Rainbow",4.3
"https://images-na.ssl-images-amazon.com/images/I/71G7OFs7rjL._AC_UL200_SR200,200_.jpg",179.99,728,"Ring Stick Up Cam Battery HD Security Camera with Two-Way Talk, Night Vision, White, Works with Alexa",4.3
"https://images-na.ssl-images-amazon.com/images/I/61vW7KQYIEL._AC_UL200_SR200,200_.jpg",39.99,1120,All-New Kindle Paperwhite Leather Cover (10th Generation-2018),4.2
"https://images-na.ssl-images-amazon.com/images/I/716MbtphhUL._AC_UL200_SR200,200_.jpg",29.99,939,"All-new Kindle Paperwhite Water-Safe Fabric Cover (10th Generation-2018), Marine Blue",4.3
"https://images-na.ssl-images-amazon.com/images/I/61mFWxFqHrL._AC_UL200_SR200,200_.jpg",29.99,559,Echo Show (2nd generation) Adjustable Stand,4.6
"https://images-na.ssl-images-amazon.com/images/I/61dsbjR7iOL._AC_UL200_SR200,200_.jpg",69.99,188,"All-New Echo Dot Kids Edition, an Echo designed for kids, Blue",4.3
"https://images-na.ssl-images-amazon.com/images/I/61mybdz9hDL._AC_UL200_SR200,200_.jpg",179.98,41895,"Fire HD 10 Tablet (32 GB, Black, With Special Offers) + Amazon Standing Case (Charcoal Black)",4.1
"https://images-na.ssl-images-amazon.com/images/I/71OasQsMIcL._AC_UL200_SR200,200_.jpg",39.99,3260,"Amazon Fire HD 10 Tablet Case (7th Generation, 2017 Release), Charcoal Black",4.0
"https://images-na.ssl-images-amazon.com/images/I/41c-L%2BFtNVL._AC_UL200_SR200,200_.jpg",19.99,624,Ring Alarm Contact Sensor,4.4
"https://images-na.ssl-images-amazon.com/images/I/61QhTOCInFL._AC_UL200_SR200,200_.jpg",79.99,18703,"Fire HD 8 Tablet (8"" HD Display, 16 GB) - Yellow",4.1
"https://images-na.ssl-images-amazon.com/images/I/51hM-iD-CpL._AC_UL200_SR200,200_.jpg",69.99,4832,"All-New Fire 7 Tablet (7"" display, 32 GB) - Black",4.2
"https://images-na.ssl-images-amazon.com/images/I/51szPIzkLXL._AC_UL200_SR200,200_.jpg",189.00,41,"Certified Refurbished Ring Floodlight Camera Motion-Activated HD Security Cam Two-Way Talk and Siren Alarm, White, Works with Alexa",4.3
"https://images-na.ssl-images-amazon.com/images/I/61Jfgkc1yTL._AC_UL200_SR200,200_.jpg",29.99,445,Ring Alarm Motion Detector,4.4
"https://images-na.ssl-images-amazon.com/images/I/614mwvYHiBL._AC_UL200_SR200,200_.jpg",249.99,7662,TOSHIBA 43LF711U20 43-inch 4K Ultra HD Smart LED TV HDR - Fire TV Edition,4.2
"https://images-na.ssl-images-amazon.com/images/I/61drXb4PZ4L._AC_UL200_SR200,200_.jpg",49.00,556,Ring Solar Panel White - Compatible with Ring Spotlight Cam Battery and Stick Up Cam Battery,4.3
"https://images-na.ssl-images-amazon.com/images/I/61dNS8UIuGL._AC_UL200_SR200,200_.jpg",19.99,479,Echo Show 5 Adjustable Stand - White,4.6
"https://images-na.ssl-images-amazon.com/images/I/61O-eq1gqxL._AC_UL200_SR200,200_.jpg",159.99,11445,Kindle Paperwhite – Now Waterproof with more than 2x the Storage – Includes Special Offers,4.3
"https://images-na.ssl-images-amazon.com/images/I/61-H8NmkaXL._AC_UL200_SR200,200_.jpg",,48808,"Fire 7 Tablet  (7"" display, 8 GB) - Black - (Previous Generation - 7th)",3.8
